		
		
Patricia	Quel était le mot le plus utilisé par le professeur de micro?	Onké
Sab R	La formule Excel la plus importante (pour ceux ayant pris le cours Analytique d’affaires)	Sommeprod
Eric Brault	Comment est calculé le "Taux de rentabilité net"?	résultat net / chiffre d’affaires
Jérémie	Le mot qui nous à eu l'honneur de générer un fou rire incontrôlable à chaque fois qu'il était prononcé suite à un des fameux 5@7 sur côte Ste-Catherine? (INDICE : dans le cours de Stratégie d'Alizera)	Moonshot 🚀
Genevieve	Selon l’équilibre de Nash et la théorie des jeux, vus en microéconomie et illustrés dans le film A Beautiful Mind, pour que tout le monde gagne, qui doit être ignoré au bar?	La blonde
Dominic	À quoi servent les 5 forces de Porter?	Aident à analyser la concurrence
Aliou Sow	1ere question qu’on se pose avant de commencer une négociation?	Quelle est ma MESORE?
Patricia	Qui était le fournisseur officiel de chouquettes?	Aurélien
Sab R	Le breuvage des champions	Orange Crush DIET (autre réponse acceptable:  Fireball)
Eric Brault	Quel était le nom de nos deux professeurs dans le cours de "métier de gestionnaire"?	Viana Poulin et Chirstine Beaulieu
Jérémie	La meilleure professeure "enregistrée" (INDICE : bouée de sauvetage nécessaire à cause d'une barrière de langage)	Les enregistrements de Louise MaRRRRtel en comptabilité
Genevieve	Selon Joey, quelle entreprise est le diable?	Hydro quebec
Dominic	Quel est le livre que Dominic recommande à chaque année?	Le guide de l’auto
Aliou Sow	Quand on est en manque d’inspiration pour écrire un essai et qu’il nous reste peu de temps, comment on fait ?	ChatGPT
Patricia	Quel était l'élément manquant lors de l'examen final de finance?	La feuille de formules
Sab R	La fable qui a débuté notre MBA	La cigale et la fourmi
Eric Brault	Quels sont les traits de personnalités qui consituent le "Dark Triad"	Narcissisme, Machiavélisme et Psychopathie
Jérémie	Meilleur costume d'Halloween d'un professeur?	Zvi en Pinguin
Genevieve	Nommez deux principes japonais d’optimisation. 	5S, kaizen, autre
Dominic	Que veut dire un objectif SMART?	Spécifique, mesurable, atteignable, réaliste, temporel 
Aliou Sow	Quelle est la meilleure stratégie pour gagner la simulation ? (1ere semaine du MBA)	Vendre a bon prix, et expansion sur les marchés croissants
